CITY GRAPH:
 0 Cairo_EG
      2 Johannesburg_SA
      3 Lagos_NG
      4 Beijing_CN
     11 Singapore_SG
     19 Frankfurt_DE

 1 Johannesburg_SA
      1 Cairo_EG
      3 Lagos_NG
     33 Rio_de_Janeiro_BR

 2 Lagos_NG
      1 Cairo_EG
      2 Johannesburg_SA
     19 Frankfurt_DE
     33 Rio_de_Janeiro_BR

 3 Beijing_CN
      1 Cairo_EG
      5 Hong_Kong_CN
      6 Taipei_TW
      7 Tokyo_JP
      8 Seoul_KR
     10 New_Delhi_IN
     11 Singapore_SG
     12 Honolulu_HI
     19 Frankfurt_DE

 4 Hong_Kong_CN
      4 Beijing_CN
      6 Taipei_TW
      8 Seoul_KR
      9 Bangalore_IN
     10 New_Delhi_IN

 5 Taipei_TW
      4 Beijing_CN
      5 Hong_Kong_CN
      8 Seoul_KR
      9 Bangalore_IN
     10 New_Delhi_IN

 6 Tokyo_JP
      4 Beijing_CN
     11 Singapore_SG
     12 Honolulu_HI

 7 Seoul_KR
      4 Beijing_CN
      5 Hong_Kong_CN
      6 Taipei_TW
      9 Bangalore_IN
     10 New_Delhi_IN

 8 Bangalore_IN
      5 Hong_Kong_CN
      6 Taipei_TW
      8 Seoul_KR
     10 New_Delhi_IN
     11 Singapore_SG

 9 New_Delhi_IN
      4 Beijing_CN
      5 Hong_Kong_CN
      6 Taipei_TW
      8 Seoul_KR
      9 Bangalore_IN

10 Singapore_SG
      1 Cairo_EG
      4 Beijing_CN
      7 Tokyo_JP
      9 Bangalore_IN

11 Honolulu_HI
      4 Beijing_CN
      7 Tokyo_JP
     13 Sydney_AU
     14 Wellington_NZ
     25 Los_Angeles_CA
     27 Miami_FL
     28 New_York_NY

12 Sydney_AU
     12 Honolulu_HI
     14 Wellington_NZ

13 Wellington_NZ
     12 Honolulu_HI
     13 Sydney_AU

14 Copenhagen_DK
     16 London_UK
     17 Madrid_ES
     18 Rome_IT
     19 Frankfurt_DE

15 London_UK
     15 Copenhagen_DK
     17 Madrid_ES
     18 Rome_IT
     19 Frankfurt_DE

16 Madrid_ES
     15 Copenhagen_DK
     16 London_UK
     18 Rome_IT
     19 Frankfurt_DE

17 Rome_IT
     15 Copenhagen_DK
     16 London_UK
     17 Madrid_ES
     19 Frankfurt_DE

18 Frankfurt_DE
      1 Cairo_EG
      3 Lagos_NG
      4 Beijing_CN
     15 Copenhagen_DK
     16 London_UK
     17 Madrid_ES
     18 Rome_IT
     27 Miami_FL
     28 New_York_NY

19 Chicago_IL
     21 Minneapolis_MN
     22 Denver_CO
     23 Houston_TX
     24 Knoxville_TN
     26 Mexico_City_MX
     28 New_York_NY
     29 San_Fransisco_CA
     30 Seattle_WA

20 Minneapolis_MN
     20 Chicago_IL
     22 Denver_CO
     23 Houston_TX
     24 Knoxville_TN
     26 Mexico_City_MX
     28 New_York_NY
     29 San_Fransisco_CA
     30 Seattle_WA

21 Denver_CO
     20 Chicago_IL
     21 Minneapolis_MN
     23 Houston_TX
     24 Knoxville_TN
     25 Los_Angeles_CA
     26 Mexico_City_MX
     29 San_Fransisco_CA
     30 Seattle_WA

22 Houston_TX
     20 Chicago_IL
     21 Minneapolis_MN
     22 Denver_CO
     24 Knoxville_TN
     26 Mexico_City_MX
     27 Miami_FL
     29 San_Fransisco_CA
     30 Seattle_WA

23 Knoxville_TN
     20 Chicago_IL
     21 Minneapolis_MN
     22 Denver_CO
     23 Houston_TX
     26 Mexico_City_MX
     28 New_York_NY
     29 San_Fransisco_CA
     30 Seattle_WA

24 Los_Angeles_CA
     12 Honolulu_HI
     22 Denver_CO
     27 Miami_FL
     28 New_York_NY
     29 San_Fransisco_CA
     30 Seattle_WA

25 Mexico_City_MX
     20 Chicago_IL
     21 Minneapolis_MN
     22 Denver_CO
     23 Houston_TX
     24 Knoxville_TN
     27 Miami_FL
     29 San_Fransisco_CA
     30 Seattle_WA

26 Miami_FL
     12 Honolulu_HI
     19 Frankfurt_DE
     23 Houston_TX
     25 Los_Angeles_CA
     26 Mexico_City_MX
     28 New_York_NY
     31 Santiago_CL
     33 Rio_de_Janeiro_BR

27 New_York_NY
     12 Honolulu_HI
     19 Frankfurt_DE
     20 Chicago_IL
     21 Minneapolis_MN
     24 Knoxville_TN
     25 Los_Angeles_CA
     27 Miami_FL
     31 Santiago_CL
     33 Rio_de_Janeiro_BR

28 San_Fransisco_CA
     20 Chicago_IL
     21 Minneapolis_MN
     22 Denver_CO
     23 Houston_TX
     24 Knoxville_TN
     25 Los_Angeles_CA
     26 Mexico_City_MX
     30 Seattle_WA

29 Seattle_WA
     20 Chicago_IL
     21 Minneapolis_MN
     22 Denver_CO
     23 Houston_TX
     24 Knoxville_TN
     25 Los_Angeles_CA
     26 Mexico_City_MX
     29 San_Fransisco_CA

30 Santiago_CL
     27 Miami_FL
     28 New_York_NY
     32 Buenos_Aires_AR
     33 Rio_de_Janeiro_BR
     34 Lima_PE

31 Buenos_Aires_AR
     31 Santiago_CL
     34 Lima_PE

32 Rio_de_Janeiro_BR
      2 Johannesburg_SA
      3 Lagos_NG
     27 Miami_FL
     28 New_York_NY
     31 Santiago_CL

33 Lima_PE
     31 Santiago_CL
     32 Buenos_Aires_AR

